ra,dec,mag,ci
19.424972,3.114775,3.36,0.319
15.378021,-44.689622,3.37,-0.191
8.779587,6.418809,3.38,0.685
13.57822,-0.59582,3.38,0.114
5.585633,9.934158,3.39,-0.16
10.28472,-61.332304,3.39,1.541
12.926725,3.39747,3.39,1.571
22.180908,58.201261,3.39,1.558
4.477705,15.870883,3.4,0.179
17.172783,-15.726921,3.4,
1.472759,-43.318234,3.41,1.542
4.011338,12.490347,3.41,-0.099
13.825078,-41.687709,3.41,-0.225
15.20476,-52.099247,3.41,0.918
20.754811,61.838782,3.41,0.912
22.691033,10.831364,3.41,-0.086
1.884696,29.578829,3.42,0.488
16.002036,-38.396706,3.42,-0.206
17.774319,27.720676,3.42,0.75
20.749314,-66.203212,3.42,0.163
9.182804,-58.966896,3.43,-0.19
10.278171,23.417311,3.43,0.307
19.10415,-4.882554,3.43,-0.096
10.284952,42.914365,3.45,0.029
0.81826,57.815187,3.46,0.587
1.143164,-10.182264,3.46,1.161
7.946313,-52.98236,3.46,-0.177
15.258376,33.314833,3.46,0.961
2.721678,3.235818,3.47,0.093
13.826943,-42.473732,3.47,-0.17
10.122209,16.762664,3.48,-0.031
16.714933,38.922254,3.48,0.916
1.734479,-15.93748,3.49,0.727
7.028652,-27.93483,3.49,1.729
11.307983,33.094306,3.49,1.4
15.032436,40.390566,3.49,0.956
18.449561,-45.968459,3.49,-0.179
22.809239,-51.316864,3.49,0.083
6.830683,-32.508478,3.5,-0.116
7.335383,21.98232,3.5,0.374
22.82802,66.200408,3.5,1.053
19.979285,19.492148,3.51,1.571
22.833385,24.601579,3.51,0.933
3.720806,-9.763395,3.52,0.915
9.685843,9.892308,3.52,0.516
9.947708,-54.56779,3.52,-0.067
18.834665,33.362667,3.52,0.003
18.962167,-21.106654,3.52,1.151
22.169996,6.197865,3.52,0.086
12.694171,-1.449235,3.52,
4.476943,19.180431,3.53,1.014
8.275256,9.185545,3.53,1.481
11.550038,-31.857625,3.54,0.947
15.827002,-3.430208,3.54,-0.036
17.626445,-15.398557,3.54,0.262
4.298237,-33.798348,3.55,-0.108
5.782595,-14.82195,3.55,0.104
14.323396,-46.058093,3.55,-0.184
18.350736,72.732843,3.55,0.489
20.145157,-66.182068,3.55,0.751
0.323799,-8.823921,3.56,1.214
2.275154,-51.512165,3.56,-0.12
11.322347,-14.778541,3.56,1.112
16.872263,-38.017536,3.56,-0.21
7.740793,24.397993,3.57,0.932
9.060427,47.156525,3.57,0.007
14.5305,30.371437,3.57,1.298
15.36344,-36.261376,3.57,1.534
7.30155,16.540383,3.58,0.106
20.300904,-12.544852,3.58,0.883
1.633205,48.628213,3.59,1.275
5.293442,-6.844409,3.59,-0.115
5.741057,-22.448382,3.59,0.481
11.844922,1.764718,3.59,0.518
12.356031,-60.401147,3.59,1.389
1.40039,-8.183257,3.6,1.065
6.879816,33.961254,3.6,0.102
8.671554,-52.921887,3.6,-0.168
9.511674,-40.466769,3.6,0.371
15.61707,-28.135079,3.6,1.361
17.518318,-60.683848,3.6,-0.104
2.833063,27.260507,3.61,-0.1
3.413554,9.02887,3.61,0.887
10.176467,-12.354083,3.61,1.007
13.037759,-71.548855,3.61,1.19
17.762221,-64.723871,3.61,1.161
1.524725,15.345823,3.62,0.974
3.819373,24.053415,3.62,-0.07
7.754249,-37.968584,3.62,1.706
16.909731,-42.361313,3.62,1.393
23.032017,42.325979,3.62,-0.099
11.760141,-66.728763,3.63,0.16
20.625816,14.595087,3.64,0.425
