num,name,epoch,a,e,inc,w,omega,m,H,G,info,wiki,wikipic
84,Klio,59000,2.3618558,0.23618576,9.3174,15.14255,327.51459,215.9097557,9.4,0.15,,,
85,Io,59000,2.6529977,0.19470933,11.9594,122.90163,203.10417,312.1195469,7.7,0.15,,,thumb/f/fc/85Io_%28Lightcurve_Inversion%29.png/265px-85Io_%28Lightcurve_Inversion%29.png
86,Semele,59000,3.1073744,0.21513746,4.82053,308.90306,86.09723,63.862358,8.7,0.15,,,
89,Julia,59000,2.549543,0.18500838,16.13084,45.32886,311.55333,234.354346,6.8,0.15,,,f/f5/Potw1749a_Julia_crop.png
91,Aegina,59000,2.5895294,0.10638288,2.10321,74.2718,10.44299,261.3310255,8.9,0.15,,,
92,Undina,59000,3.1851789,0.10486265,9.93202,239.0703,101.58032,249.1220811,6.7,0.15,,,https://upload.wikimedia.org/wikipedia/en/thumb/2/20/92_Undina_%28orbit%29.gif/250px-92_Undina_%28orbit%29.gif
93,Minerva,59000,2.7563769,0.13906623,8.55642,274.94058,4.03098,203.1480034,7.9,0.15,,,thumb/0/08/93Minerva_%28Lightcurve_Inversion%29.png/265px-93Minerva_%28Lightcurve_Inversion%29.png
94,Aurora,59000,3.1578181,0.09427349,7.96938,60.34317,2.56535,19.2639457,7.6,0.15,,,thumb/d/d4/94Aurora_%28Lightcurve_Inversion%29.png/265px-94Aurora_%28Lightcurve_Inversion%29.png
95,Arethusa,59000,3.0640511,0.15278873,12.99563,153.78465,243.0199,147.7093146,8,0.15,,,thumb/8/86/95Arethusa_%28Lightcurve_Inversion%29.png/265px-95Arethusa_%28Lightcurve_Inversion%29.png
96,Aegle,59000,3.0483605,0.14117795,15.98222,208.46184,321.48995,178.478635,7.7,0.15,,,
97,Klotho,59000,2.6690206,0.25729841,11.77759,268.67315,159.61738,41.4446702,7.8,0.15,,,thumb/5/59/97Klotho_%28Lightcurve_Inversion%29.png/265px-97Klotho_%28Lightcurve_Inversion%29.png
98,Ianthe,59000,2.686497,0.18723305,15.57685,158.63194,353.90438,215.266415,8.9,0.15,,,thumb/9/91/98Ianthe_%28Lightcurve_Inversion%29.png/265px-98Ianthe_%28Lightcurve_Inversion%29.png
