name,type,epoch,orbiting,orbitRef,a,e,w,m,inc,omega,lDot,P,wDot,omegaDot,H,radius,orbitRA,orbitDec,tilt,info,wiki,wikipic
Kore,3,51544,Jupiter,E,24482000,0.3313,138.071,33.416,145.173,313.355,16926.4693049464,776.84,108.39,84.47,16.6,1,,,,,Kore_(moon),
Leda,3,51544,Jupiter,E,11164000,0.1624,269.393,230.352,27.882,219.181,54578.0923528574,240.93,144.79,301.94,12.7,10.75,,,,,Leda_(moon),https://upload.wikimedia.org/wikipedia/en/0/0e/Leda2%28moon%29.jpg
Lysithea,3,51544,Jupiter,E,11717000,0.1161,49.67,330.475,27.663,5.326,50730.0581276343,259.2,131.19,292.04,11.2,21.1,,,,,Lysithea_(moon),9/90/Lysithea2.jpg
Megaclite,3,51544,Jupiter,E,23814000,0.4156,288.882,135.272,152.781,280.575,17465.3101018985,752.88,76.9,79.23,15,2.5,,,,,Megaclite,thumb/9/90/Megaclite-Jewitt-CFHT-annotated.gif/375px-Megaclite-Jewitt-CFHT-annotated.gif
Mneme,3,51544,Jupiter,E,21033000,0.2258,40.542,256.86,148.585,13.467,21206.7880883436,620.05,148.06,112.26,16.3,1,,,,,Mneme_(moon),thumb/a/a6/Mneme_Discovery_Image.jpg/375px-Mneme_Discovery_Image.jpg
Orthosie,3,51544,Jupiter,E,21158000,0.2807,216.805,204.517,146.004,221.949,21120.5912392393,622.58,142.35,107.53,16.7,1,,,,,Orthosie_(moon),thumb/b/b9/Orthosie-discovery-CFHT-annotated.gif/375px-Orthosie-discovery-CFHT-annotated.gif
Pasiphae,3,51544,Jupiter,E,23629000,0.4062,169.226,279.769,151.413,314.223,17682.8750545195,743.61,81.2,81.17,10.1,28.9,,,,,Pasiphae_(moon),thumb/2/2e/Pasipha%C3%A9.jpg/330px-Pasipha%C3%A9.jpg
Pasithee,3,51544,Jupiter,E,23091000,0.2682,231.92,215.443,165.117,327.729,18276.3143726129,719.47,80.82,89.25,16.8,1,,,,,Pasithee_(moon),thumb/a/a5/Pasithee-discovery-CFHT-annotated.gif/375px-Pasithee-discovery-CFHT-annotated.gif
Philophrosyne,3,51544,Jupiter,E,22627000,0.1899,18.405,58.865,146.492,236.674,19063.0290951877,689.78,187.83,105.37,16.7,1,,,,,Philophrosyne_(moon),
Praxidike,3,51544,Jupiter,E,21148000,0.2274,190.862,117.48,148.885,280.956,21025.547881023,625.39,144.77,111.16,14.9,3.5,,,,,Praxidike_(moon),thumb/b/b6/Praxidike-Jewitt-CFHT-annotated.gif/375px-Praxidike-Jewitt-CFHT-annotated.gif
S/2003 J10,3,51544,Jupiter,E,23042000,0.4299,170.833,258.937,165.073,151.911,18358.4130453244,716.25,68.06,80.34,16.8,1,,,,,S/2003_J_10,thumb/7/71/2003_J_10_Gladman_CFHT_annotated.gif/375px-2003_J_10_Gladman_CFHT_annotated.gif
S/2003 J12,3,51544,Jupiter,E,17830000,0.4904,13.288,38.543,151.003,65.53,26853.1364488518,489.67,97.93,109.42,17,0.5,,,,,S/2003_J_12,thumb/d/d8/2003_J_12_Gladman_CFHT_annotated.gif/375px-2003_J_12_Gladman_CFHT_annotated.gif
S/2003 J16,3,51544,Jupiter,E,21097000,0.2281,57.681,307.563,148.683,16.883,21110.3165777481,622.88,146.7,111.64,16.3,1,,,,,S/2003_J_16,thumb/4/47/2003_J_16_CFHT_recovery_full.gif/375px-2003_J_16_CFHT_recovery_full.gif
S/2003 J18,3,51544,Jupiter,E,20508000,0.0895,130.894,202.16,146.077,158.247,21983.75411859,598.13,506.86,131.88,16.5,1,,,,,S/2003_J_18,thumb/7/77/2003_J_18_CFHT_recovery_full.gif/375px-2003_J_18_CFHT_recovery_full.gif
S/2003 J19,3,51544,Jupiter,E,23533000,0.2552,176.668,223.035,165.116,27.442,17759.3341689863,740.41,80.17,87.39,16.6,1,,,,,S/2003_J_19,
S/2003 J2,3,51544,Jupiter,E,28347000,0.41,165.201,237.932,157.291,344.782,13410.3289265269,980.53,60.25,62.87,16.7,1,,,,,S/2003_J_2,thumb/a/ad/2003_J_2_Gladman_CFHT_annotated.gif/375px-2003_J_2_Gladman_CFHT_annotated.gif
S/2003 J23,3,51544,Jupiter,E,23567000,0.2746,255.114,144.222,146.424,41.706,17952.1383927595,732.46,130.1,92.9,16.6,1,,,,,S/2003_J_23,5/5c/S2003j23ccircle.gif
S/2003 J4,3,51544,Jupiter,E,23929000,0.3624,197.401,260.48,149.589,179.131,17410.5399102667,755.25,90.17,82.96,16.7,1,,,,,S/2003_J_4,thumb/2/2b/2003_J_4_Gladman_CFHT_annotated.gif/375px-2003_J_4_Gladman_CFHT_annotated.gif
S/2003 J9,3,51544,Jupiter,E,23385000,0.2632,292.662,348.415,165.047,44.321,17931.1105839415,733.32,80.27,87.93,16.9,0.5,,,,,S/2003_J_9,thumb/8/83/2003_J_9_Gladman_CFHT_annotated.gif/375px-2003_J_9_Gladman_CFHT_annotated.gif
S/2010 J1,3,51544,Jupiter,E,23449000,0.2491,189.23,160.525,165.1,282.871,17853.7127606219,736.5,81.18,88.33,16.4,1,,,,,S/2010_J_1,thumb/8/84/2010_J_1_CFHT_image.gif/375px-2010_J_1_CFHT_image.gif
S/2010 J2,3,51544,Jupiter,E,21004000,0.2267,18.252,312.074,148.673,5.802,21248.3177368167,618.84,147.06,112.35,17.3,0.5,,,,,S/2010_J_2,thumb/8/82/2010_J_2_CFHT_discovery_full.gif/375px-2010_J_2_CFHT_discovery_full.gif
S/2011 J1,3,51544,Jupiter,E,23446000,0.2534,31.514,256.027,165.318,250.728,17857.3762819427,736.35,80.45,87.91,16.7,1,,,,,S/2011_J_1,
S/2011 J2,3,51544,Jupiter,E,23124000,0.3493,270.154,285.597,153.597,24.866,18304.1688228552,718.37,87.78,87,,0.5,,,,,S/2011_J_2,
Sinope,3,51544,Jupiter,E,23942000,0.2552,354.541,165.352,158.189,309.199,17326.9290762124,758.89,88.72,87.4,11.1,17.5,,,,,Sinope_(moon),thumb/f/f5/Sinop%C3%A9.jpg/330px-Sinop%C3%A9.jpg
Sponde,3,51544,Jupiter,E,23790000,0.3112,61.885,174.044,150.997,116.363,17571.6070086588,748.32,98.08,87.01,16.7,1,,,,,Sponde,thumb/2/2c/Sponde-discovery-CFHT-annotated.gif/375px-Sponde-discovery-CFHT-annotated.gif
Taygete,3,51544,Jupiter,E,23363000,0.2523,231.54,94.756,165.253,305.114,17953.1136272487,732.42,81.04,88.59,15.5,2.5,,,,,Taygete_(moon),thumb/0/0c/Taygete-Jewitt-CFHT-annotated.gif/375px-Taygete-Jewitt-CFHT-annotated.gif
Thelxinoe,3,51544,Jupiter,E,21160000,0.2201,313.183,268.013,151.39,169.962,20937.4005629402,628.03,130.58,110.42,16.3,1,,,,,Thelxinoe_(moon),
Themisto,3,51544,Jupiter,E,7504000,0.2435,217.147,313.051,42.977,192.288,101132.30232204,130.02,686.41,528.39,12.9,4.5,,,,,Themisto_(moon),c/c6/S_2000_J_1.jpg
Thyone,3,51544,Jupiter,E,21197000,0.2307,97.023,238.786,148.595,233.022,20965.2477080554,627.19,147.58,110.93,15.8,2,,,,,Thyone_(moon),thumb/b/b1/Thyone-discovery-CFHT-annotated.gif/375px-Thyone-discovery-CFHT-annotated.gif
Adrastea,3,50464,Jupiter,L,129000,0.0018,328.047,135.673,0.054,228.378,44086399.4171005,0.298,0.058,0.116,12,8.2,268.057,64.496,0,,Adrastea_(moon),e/e4/Adrastea.jpg
Amalthea,3,50464,Jupiter,L,181400,0.0032,155.873,185.194,0.38,108.946,26394583.1753673,0.498,0.196,0.393,7.1,83.5,268.057,64.495,0,,Amalthea_(moon),thumb/b/b1/Amalthea_PIA02532.png/330px-Amalthea_PIA02532.png
Callisto,2,50464,Jupiter,L,1882700,0.0074,52.643,181.408,0.192,298.848,787897.159693623,16.69,205.75,338.82,-1.2,2410.3,268.639,64.749,0.356,Galilean moon,Callisto_(moon),thumb/e/e9/Callisto.jpg/330px-Callisto.jpg
Europa,2,50464,Jupiter,L,671100,0.0094,88.97,171.016,0.466,219.106,3702776.30614201,3.551,1.394,30.184,-1.4,1560.8,268.084,64.506,0.016,Galilean moon<br>Attempt no landings here.,Europa_(moon),thumb/e/e4/Europa-moon-with-margins.jpg/330px-Europa-moon-with-margins.jpg
Ganymede,2,50464,Jupiter,L,1070400,0.0013,192.417,317.54,0.177,63.552,1837882.62007346,7.155,63.549,132.654,-2.1,2631.2,268.168,64.543,0.068,Galilean moon,Ganymede_(moon),thumb/f/f2/Ganymede_g1_true-edit1.jpg/330px-Ganymede_g1_true-edit1.jpg
Io,2,50464,Jupiter,L,421800,0.0041,84.129,342.021,0.036,43.977,7432563.68193167,1.769,1.625,7.42,-1.7,1821.6,268.057,64.495,0,Galilean moon,Io_(moon),thumb/7/7b/Io_highest_resolution_true_color.jpg/330px-Io_highest_resolution_true_color.jpg
Metis,3,50464,Jupiter,L,128000,0.0012,297.177,276.047,0.019,146.912,44607101.2835558,0.295,0.057,0.115,10.5,21.5,268.057,64.496,0,,Metis_(moon),9/9a/Metis.jpg
Thebe,3,50464,Jupiter,L,221900,0.0176,234.269,135.956,1.08,235.694,19493741.4730934,0.675,0.398,0.797,9,49.3,268.057,64.495,0,,Thebe_(moon),1/1b/Thebe.jpg
Linus,3,51544,22 Kalliope,E,1063,0.015,,,0,,,,,,9.7,14,,,,,,
S/2015 (136472) 1,3,51344,Makemake,E,21000,,,,,,,12.4,,,7.8,43.75,,,,,,
Deimos,3,33282,Mars,L,23458,0.0002,260.729,325.329,1.788,24.525,10415719.0789786,1.2624,27.3703,54.5367,,3.1,316.657,53.529,0.889,,Deimos_(moon),thumb/8/8d/Deimos-MRO.jpg/330px-Deimos-MRO.jpg
Phobos,3,33282,Mars,L,9376,0.0151,150.057,91.059,1.075,207.784,41231773.0296913,0.3189,1.1316,2.2617,,5.63335,317.671,52.893,0.009,,Phobos_(moon),thumb/5/5c/Phobos_colour_2008.jpg/330px-Phobos_colour_2008.jpg
Halimede,3,52800,Neptune,E,16681000,0.2909,162.119,105.258,112.898,217.288,6996.7705332281,1879.33,5673.19,18501.48,,31,,,,,Halimede_(moon),thumb/0/02/Halimede.jpg/375px-Halimede.jpg
Laomedeia,3,52800,Neptune,E,23613000,0.4339,140.107,285.863,34.049,59.124,4140.6812758223,3175.62,2245.08,3325.44,,17.4,,,,,Laomedeia,thumb/0/05/Laomedeia_VLT-FORS1_2002-09-03_annotated.gif/375px-Laomedeia_VLT-FORS1_2002-09-03_annotated.gif
Neso,3,52800,Neptune,E,50258000,0.4243,86.441,260.648,131.265,49.151,1330.8079060269,9880.63,23936.86,1094.07,,30,,,,,Neso_(moon),thumb/f/f0/Neso_VLT-FORS1_2002-09-03_annotated.gif/375px-Neso_VLT-FORS1_2002-09-03_annotated.gif
Psamathe,3,52800,Neptune,E,46705000,0.4617,144.158,190.027,137.679,298.074,1440.4213405632,9128.74,1477.62,1304.72,,20,,,,,Psamathe_(moon),thumb/6/65/Psamathe_feat.jpg/375px-Psamathe_feat.jpg
Sao,3,52800,Neptune,E,22619000,0.2827,65.047,168.139,49.907,60.354,4504.4510454249,2919.16,436880.78,5382.39,,22,,,,,Sao_(moon),thumb/7/7a/Sao_VLT-FORS1_2002-09-03_annotated.gif/375px-Sao_VLT-FORS1_2002-09-03_annotated.gif
Despina,3,51544.5,Neptune,L,52526,0.0002,176.857,230.812,0.068,77.06,39291834.7757358,0.335,0.387,0.774,,78,299.431,42.937,0.451,,Despina_(moon),5/5f/Despina.jpg
Galatea,3,51544.5,Neptune,L,61953,0.0001,343.011,65.999,0.034,37.247,30669163.3685621,0.429,0.69,1.38,,87.4,299.43,42.925,0.462,,Galatea_(moon),d/d8/Galatea_moon.jpg
Larissa,3,51544.5,Neptune,L,73548,0.0014,249.891,166.246,0.205,308.127,23707113.1555342,0.555,1.257,2.516,,97,299.429,42.897,0.49,,Larissa_(moon),5/5b/Larissa_1.jpg
Naiad,3,51544.5,Neptune,L,48227,0.0003,2.045,30.035,4.691,42.279,44665140.0265404,0.294,0.289,0.575,,30.2,299.431,42.94,0.448,,Naiad_(moon),thumb/f/f3/Naiad_Voyager.png/330px-Naiad_Voyager.png
Nereid,2,51544.5,Neptune,L,5513818,0.7507,281.117,216.692,7.09,335.57,36512.0341530419,360.13,8091.45,9455.73,,178.5,269.302,69.117,30.011,,Nereid_(moon),b/b0/Nereid-Voyager2.jpg
Proteus,2,51544.5,Neptune,L,117646,0.0005,67.968,250.938,0.075,315.131,11716168.5380294,1.122,6.38,12.727,,210,299.406,42.432,0.974,,Proteus_(moon),thumb/8/83/Proteus_%28Voyager_2%29.jpg/330px-Proteus_%28Voyager_2%29.jpg
S/2004N1,3,51544.5,Neptune,L,105284,0,0,302.652,0,0,13839787.868782,0.95,0,0,,0,299.373,42.944,0.448,,S/2004N1_(moon),
Thalassa,3,51544.5,Neptune,L,50074,0.0002,237.065,262.923,0.135,145.98,42214722.3907493,0.311,0.327,0.654,,40.7,299.431,42.939,0.449,,Thalassa_(moon),thumb/5/5c/Neptune_Trio.jpg/330px-Neptune_Trio.jpg
Triton,2,51544.5,Neptune,L,354759,0,66.142,352.257,156.865,177.608,2237460.53829196,5.877,386.371,687.446,,1352.6,299.456,43.414,0.01,,Triton_(moon),thumb/a/a6/Triton_moon_mosaic_Voyager_2_%28large%29.jpg/450px-Triton_moon_mosaic_Voyager_2_%28large%29.jpg
Vanth,3,51344,Orcus,E,8999.8,0.00091,,,105.03,,,,,,4.88,221.75,,,,,,
Hydra,3,51544,Pluto,Q,64698,0.0056,153.307,326.678,0.304,113.173,344200.743562611,38.2,7.19,14.35,,19.65,,,,,Hydra_(moon),thumb/f/f6/Hydra_Enhanced_Color.jpg/330px-Hydra_Enhanced_Color.jpg
